University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
University of Queensland,Master of Architecture,Master,Full-time,On Campus,"Brisbane, Queensland",42000,2
Griffith University,Master of Environmental Management,Master,Full-time,On Campus,"Brisbane, Queensland",34000,2
Curtin University,Master of Data Science,Master,Full-time,On Campus,"Perth, Western Australia",38000,2
University of Sydney,Master of Applied Linguistics,Master,Full-time,On Campus,"Sydney, New South Wales",41000,2
University of Melbourne,Master of Information Technology(MIT),Master,Full-time,On Campus,"Melbourne, Victoria",46000,2
James Cook University,Master of Marine Science,Master,Full-time,On Campus,"Townsville, Queensland",39000,2
Bond University,Master of Laws,Master,Full-time,On Campus,"Gold Coast, Queensland",48000,2
University of Tasmania,Master of Public Policy,Master,Full-time,On Campus,"Hobart, Tasmania",35000,2
Western Sydney University,Master of Business Administration,Master,Full-time,On Campus,"Sydney, New South Wales",40000,2
Federation University Australia,Master of Professional Accounting,Master,Full-time,On Campus,"Ballarat, Victoria",37000,2
University of Canberra,Master of Strategic Communication,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",38000,2
Victoria University,Master of Business Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",39000,2
Edith Cowan University,Master of Nursing,Master,Full-time,On Campus,"Joondalup, Western Australia",38000,2
University of Western Australia,Master of Environmental Science,Master,Full-time,On Campus,"Perth, Western Australia",43000,2
Macquarie University,Master of Applied Finance,Master,Full-time,On Campus,"Sydney, New South Wales",37000,2
University of South Australia,Master of Social Work,Master,Full-time,On Campus,"Adelaide, South Australia",33000,2
Southern Cross University,Master of Education,Master,Full-time,On Campus,"Lismore, New South Wales",34000,2
Australian National University,Master of Public Health,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",46000,2
Flinders University,Master of Public Administration,Master,Full-time,On Campus,"Adelaide, South Australia",35000,2
University of Queensland,Master of Laws,Master,Full-time,On Campus,"Brisbane, Queensland",49000,2
University of Melbourne,Master of Business Administration,Master,Full-time,On Campus,"Melbourne, Victoria",50000,2
James Cook University,Master of Public Health,Master,Full-time,On Campus,"Townsville, Queensland",40000,2
University of New South Wales,Master of Renewable Energy,Master,Full-time,On Campus,"Sydney, New South Wales",44000,2
Curtin University,Master of Occupational Therapy,Master,Full-time,On Campus,"Perth, Western Australia",41000,2
University of Tasmania,Master of Environmental Science,Master,Full-time,On Campus,"Hobart, Tasmania",36000,2
University of Sydney,Master of Engineering (Mechanical),Master,Full-time,On Campus,"Sydney, New South Wales",45500,2
University of Queensland,Master of Finance,Master,Full-time,On Campus,"Brisbane, Queensland",41000,2
Curtin University,Master of Civil Engineering,Master,Full-time,On Campus,"Perth, Western Australia",40000,2
La Trobe University,Master of Physiotherapy,Master,Full-time,On Campus,"Melbourne, Victoria",46000,2
University of Melbourne,Master of Urban Design,Master,Full-time,On Campus,"Melbourne, Victoria",47000,2
University of New South Wales,Master of Cybersecurity,Master,Full-time,On Campus,"Sydney, New South Wales",49000,2
University of Adelaide,Master of Applied Economics,Master,Full-time,On Campus,"Adelaide, South Australia",45000,2
Victoria University,Master of Project Management,Master,Full-time,On Campus,"Melbourne, Victoria",42000,2
University of Tasmania,Master of Environmental Law,Master,Full-time,On Campus,"Hobart, Tasmania",43000,2
University of Southern Queensland,Master of Data Science,Master,Full-time,On Campus,"Toowoomba, Queensland",40000,2
Federation University Australia,Master of Business Administration,Master,Full-time,On Campus,"Ballarat, Victoria",37000,2
Western Sydney University,Master of Education (Leadership),Master,Full-time,On Campus,"Sydney, New South Wales",39000,2
Bond University,Master of International Relations,Master,Full-time,On Campus,"Gold Coast, Queensland",45000,2
Edith Cowan University,Master of Business Analytics,Master,Full-time,On Campus,"Joondalup, Western Australia",41000,2
University of Notre Dame Australia,Master of Nursing,Master,Full-time,On Campus,"Fremantle, Western Australia",38000,2
University of Wollongong,Master of Environmental Science,Master,Full-time,On Campus,"Wollongong, New South Wales",43000,2
Southern Cross University,Master of International Business,Master,Full-time,On Campus,"Lismore, New South Wales",35000,2
James Cook University,Master of Environmental Management,Master,Full-time,On Campus,"Townsville, Queensland",36000,2
University of Canberra,Master of Psychology (Clinical),Master,Full-time,On Campus,"Canberra, Australian Capital Territory",42000,2
University of Melbourne,Master of Teaching (Primary),Master,Full-time,On Campus,"Melbourne, Victoria",48000,2
University of Technology Sydney,Master of Biotechnology,Master,Full-time,On Campus,"Sydney, New South Wales",46000,2
Monash University,Master of Public Health,Master,Full-time,On Campus,"Melbourne, Victoria",45000,2
University of South Australia,Master of Business (Marketing),Master,Full-time,On Campus,"Adelaide, South Australia",41000,2
CQUniversity,Master of Project Management,Master,Full-time,On Campus,"Rockhampton, Queensland",38000,2
University of Tasmania,Master of Marine and Antarctic Science,Master,Full-time,On Campus,"Hobart, Tasmania",42000,2
Australian Catholic University,Master of Educational Leadership,Master,Full-time,On Campus,"Brisbane, Queensland",35000,2
University of Queensland,Master of Conservation Biology,Master,Full-time,On Campus,"Brisbane, Queensland",45000,2
Federation University Australia,Master of Professional Accounting,Master,Full-time,On Campus,"Ballarat, Victoria",39000,2
University of Newcastle,Master of Clinical Psychology,Master,Full-time,On Campus,"Newcastle, New South Wales",47000,2
Charles Sturt University,Master of Information Technology(MIT),Master,Full-time,On Campus,"Bathurst, New South Wales",42000,2
Macquarie University,Master of Applied Finance,Master,Full-time,On Campus,"Sydney, New South Wales",43500,2
Murdoch University,Master of Sustainable Development,Master,Full-time,On Campus,"Perth, Western Australia",42000,2
RMIT University,Master of Business Administration,Master,Full-time,On Campus,"Melbourne, Victoria",43000,2
Southern Cross University,Master of Engineering Management,Master,Full-time,On Campus,"Lismore, New South Wales",41000,2
Swinburne University of Technology,Master of Social Work,Master,Full-time,On Campus,"Melbourne, Victoria",45000,2
Torrens University Australia,Master of Public Health,Master,Full-time,On Campus,"Sydney, New South Wales",41000,2
University of Adelaide,Master of Laws,Master,Full-time,On Campus,"Adelaide, South Australia",47000,2
University of South Australia,Master of Clinical Pharmacy,Master,Full-time,On Campus,"Adelaide, South Australia",44000,2
University of New England,Master of Information Technology(MIT),Master,Full-time,On Campus,"Armidale, New South Wales",42000,2
University of Southern Queensland,Master of Project Management,Master,Full-time,On Campus,"Toowoomba, Queensland",40000,2
University of Tasmania,Master of Clinical Psychology,Master,Full-time,On Campus,"Hobart, Tasmania",46000,2
University of Western Australia,Master of International Development,Master,Full-time,On Campus,"Perth, Western Australia",47000,2
Victoria University,Master of Public Health,Master,Full-time,On Campus,"Melbourne, Victoria",43000,2
Western Sydney University,Master of Urban Management and Planning,Master,Full-time,On Campus,"Sydney, New South Wales",42000,2
Charles Sturt University,Master of Education (Digital Technologies),Master,Full-time,On Campus,"Bathurst, New South Wales",42000,2
Edith Cowan University,Master of Screen Studies,Master,Full-time,On Campus,"Joondalup, Western Australia",41000,2
Flinders University,Master of Cognitive Behaviour Therapy,Master,Full-time,On Campus,"Adelaide, South Australia",45000,2
James Cook University,Master of Marine Biology,Master,Full-time,On Campus,"Townsville, Queensland",46000,2
University of Notre Dame Australia,Master of Bioethics,Master,Full-time,On Campus,"Sydney, New South Wales",42000,2
CQUniversity,Master of Human Resource Management,Master,Full-time,On Campus,"Rockhampton, Queensland",40000,2
Australian Catholic University,Master of Public Health,Master,Full-time,On Campus,"Brisbane, Queensland",39000,2
University of Wollongong,Master of Engineering Management,Master,Full-time,On Campus,"Wollongong, New South Wales",44000,2
University of the Sunshine Coast,Master of Clinical Psychology,Master,Full-time,On Campus,"Sunshine Coast, Queensland",45000,2
Southern Cross University,Master of Business Administration,Master,Full-time,On Campus,"Lismore, New South Wales",42000,2
Charles Darwin University,Master of Environmental Science,Master,Full-time,On Campus,"Darwin, Northern Territory",41000,2
Australian Catholic University,Master of Educational Leadership,Master,Full-time,On Campus,"Melbourne, Victoria",43000,2
University of South Australia,Master of Information Technology(MIT) Management,Master,Full-time,On Campus,"Adelaide, South Australia",42000,2
CQUniversity,Master of Mental Health Nursing,Master,Full-time,On Campus,"Rockhampton, Queensland",40000,2
University of Tasmania,Master of Antarctic and Marine Science,Master,Full-time,On Campus,"Hobart, Tasmania",44000,2
Federation University Australia,Master of Business Administration,Master,Full-time,On Campus,"Ballarat, Victoria",34560,1.5
University of Melbourne,Master of Public Health,Master,Full-time,On Campus,"Melbourne, Victoria",40230,2
Bond University,Master of Sports Law,Master,Full-time,On Campus,"Gold Coast, Queensland",34800,1.5
Deakin University,Master of Nutrition and Population Health,Master,Full-time,On Campus,"Melbourne, Victoria",37820,2
Australian National University,Master of Environmental Science,Master,Full-time,On Campus,"Canberra, ACT",41040,2
University of Queensland,Master of Public Policy,Master,Full-time,On Campus,"Brisbane, Queensland",39220,1.5
University of Sydney,Master of International Business,Master,Full-time,On Campus,"Sydney, New South Wales",45980,1.5
RMIT University,Master of Chemical Engineering,Master,Full-time,On Campus,"Melbourne, Victoria",36450,2
University of Wollongong,Master of Business Analytics,Master,Full-time,On Campus,"Wollongong, New South Wales",38940,1.5
La Trobe University,Master of Physiotherapy,Master,Full-time,On Campus,"Melbourne, Victoria",37220,2
University of Canberra,Master of Social Work,Master,Full-time,On Campus,"Canberra, ACT",34120,1.5
Curtin University,Master of Civil Engineering,Master,Full-time,On Campus,"Perth, Western Australia",35840,2
University of Southern Queensland,Master of Engineering Technology,Master,Full-time,On Campus,"Toowoomba, Queensland",34260,1.5
Western Sydney University,Master of Teaching,Master,Full-time,On Campus,"Sydney, New South Wales",35780,2
Murdoch University,Master of Environmental Science,Master,Full-time,On Campus,"Perth, Western Australia",36600,2
Southern Cross University,Master of Sustainable Development,Master,Full-time,On Campus,"Lismore, New South Wales",37920,2
James Cook University,Master of Public Administration,Master,Full-time,On Campus,"Townsville, Queensland",36250,1.5
University of Tasmania,Master of Information Technology(MIT),Master,Full-time,On Campus,"Hobart, Tasmania",34980,2
Victoria University,Master of Business Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",34650,1.5
CQUniversity,Master of Mental Health Nursing,Master,Full-time,On Campus,"Rockhampton, Queensland",35980,1.5
University of Adelaide,Master of Agricultural Science,Master,Full-time,On Campus,"Adelaide, South Australia",37890,2
Australian Catholic University,Master of Public Health,Master,Full-time,On Campus,"Sydney, New South Wales",39870,2
University of New South Wales,Master of Teaching (Primary),Master,Full-time,On Campus,"Sydney, New South Wales",36500,1.5
University of Notre Dame Australia,Master of Philosophy,Master,Full-time,On Campus,"Perth, Western Australia",38230,1.5
Flinders University,Master of International Relations,Master,Full-time,On Campus,"Adelaide, South Australia",35300,1.5
Griffith University,Master of Public Administration,Master,Full-time,On Campus,"Gold Coast, Queensland",36720,1.5
University of Newcastle,Master of Marine Biology,Master,Full-time,On Campus,"Newcastle, New South Wales",37410,2
Charles Darwin University,Master of Engineering (Civil),Master,Full-time,On Campus,"Darwin, Northern Territory",36900,2
Edith Cowan University,Master of Education,Master,Full-time,On Campus,"Joondalup, Western Australia",35480,1.5
Federation University Australia,Master of Clinical Psychology,Master,Full-time,On Campus,"Ballarat, Victoria",38520,2
University of Queensland,Master of Advanced Finance,Master,Full-time,On Campus,"Brisbane, Queensland",38220,1.5
Australian National University,Master of Biotechnology,Master,Full-time,On Campus,"Canberra, ACT",41100,2
University of Adelaide,Master of Public Policy and Management,Master,Full-time,On Campus,"Adelaide, South Australia",38940,1.5
Deakin University,Master of International and Community Development,Master,Full-time,On Campus,"Melbourne, Victoria",39220,2
University of Melbourne,Master of Digital Communications,Master,Full-time,On Campus,"Melbourne, Victoria",40530,1.5
Curtin University,Master of Information Systems,Master,Full-time,On Campus,"Perth, Western Australia",36980,2
University of Technology Sydney,Master of Event Management,Master,Full-time,On Campus,"Sydney, New South Wales",37980,1.5
University of Canberra,Master of Public Relations,Master,Full-time,On Campus,"Canberra, ACT",36240,1.5
University of Southern Queensland,Master of Engineering (Civil),Master,Full-time,On Campus,"Toowoomba, Queensland",34960,2
Griffith University,Master of Strategic Communication,Master,Full-time,On Campus,"Gold Coast, Queensland",37650,1.5
University of Tasmania,Master of Sustainable Development,Master,Full-time,On Campus,"Hobart, Tasmania",38700,2
University of Wollongong,Master of Logistics Management,Master,Full-time,On Campus,"Wollongong, New South Wales",36580,1.5
Federation University Australia,Master of Business Analytics,Master,Full-time,On Campus,"Ballarat, Victoria",35620,2
Western Sydney University,Master of Public Health,Master,Full-time,On Campus,"Sydney, New South Wales",37290,2
University of Notre Dame Australia,Master of Counselling,Master,Full-time,On Campus,"Perth, Western Australia",35120,2
Macquarie University,Master of Business Administration,Master,Full-time,On Campus,"Sydney, New South Wales",40350,1.5
La Trobe University,Master of Physiotherapy,Master,Full-time,On Campus,"Melbourne, Victoria",38960,2
University of Newcastle,Master of Marine Biology,Master,Full-time,On Campus,"Newcastle, New South Wales",39450,2
Southern Cross University,Master of Sustainable Development,Master,Full-time,On Campus,"Lismore, New South Wales",37480,2
University of Canberra,Master of Education (Leadership),Master,Full-time,On Campus,"Canberra, ACT",35150,2
Murdoch University,Master of Public Administration,Master,Full-time,On Campus,"Perth, Western Australia",36580,1.5
Bond University,Master of Environmental Science,Master,Full-time,On Campus,"Gold Coast, Queensland",38220,2
Curtin University,Master of Logistics and Supply Chain Management,Master,Full-time,On Campus,"Perth, Western Australia",37960,1.5
Griffith University,Master of Criminology,Master,Full-time,On Campus,"Gold Coast, Queensland",36290,1.5
University of Southern Queensland,Master of Information Systems,Master,Full-time,On Campus,"Toowoomba, Queensland",36820,2
Australian National University,Master of Public Health,Master,Full-time,On Campus,"Canberra, ACT",40220,2
James Cook University,Master of Environmental Science,Master,Full-time,On Campus,"Townsville, Queensland",37850,2
University of Melbourne,Master of Urban Planning,Master,Full-time,On Campus,"Melbourne, Victoria",40580,2
RMIT University,Master of Professional Accounting,Master,Full-time,On Campus,"Melbourne, Victoria",36450,1.5
University of South Australia,Master of Project Management,Master,Full-time,On Campus,"Adelaide, South Australia",38540,2
University of Melbourne,Master of Screen Producing,Master,Full-time,On Campus,"Melbourne, Victoria",25200,2
University of New South Wales,Master of Health Economics,Master,Full-time,Online,"Sydney, New South Wales",29600,2
University of Sydney,Master of Economic Analysis,Master,Full-time,On Campus,"Camperdown, New South Wales",40100,1.5
University of Southern Queensland,Master of Mental Health Counselling,Master,Part-time,Online,"Toowoomba, Queensland",13320,1
University of Western Australia,Master of Architecture,Master,Full-time,On Campus,"Perth, Western Australia",9845,2
University of Sydney,Master of Professional Engineering (Structural),Master,Full-time,On Campus,"Camperdown, New South Wales",39500,2
University of Sydney,Master of Digital Communication and Culture,Master,Full-time,On Campus,"Camperdown, New South Wales",31500,1.5
University of New South Wales,Master of Environmental Management,Master,Full-time,Blended,"Kensington, New South Wales",9000,2
University of Melbourne,Master of Sport Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",44150,2
University of Adelaide,Master of Materials Engineering,Master,Full-time,On Campus,"Adelaide, South Australia",43500,2
University of Sydney,Master of Architecture,Master,Full-time,On Campus,"Camperdown, New South Wales",39100,2
University of Queensland,Master of Business,Master,Full-time,On Campus,"Brisbane, Queensland",40960,2
University of New South Wales,Master of Engineering (Mining),Master,Full-time,Blended,"Kensington, New South Wales",41000,2
Monash University,Master of Bioinformatics,Master,Full-time,On Campus,"Melbourne, Victoria",8180,1
University of Adelaide,Master of Civil Engineering,Master,Full-time,On Campus,"Adelaide, South Australia",41000,2
University of New South Wales,Master of Engineering Science (Electrical),Master,Full-time,Blended,"Kensington, New South Wales",9000,2
University of Adelaide,Master of Accounting,Master,Full-time,On Campus,"Adelaide, South Australia",39000,2
University of Sydney,Master of Professional Engineering (Accelerated),Master,Full-time,On Campus,"Camperdown, New South Wales",40100,2
Monash University,Master of Global Executive Business Administration,Master,Full-time,On Campus,"Melbourne, Victoria",60000,1.5
University of Adelaide,Master of Surgery,Master,Full-time,On Campus,"Adelaide, South Australia",42500,2
University of Sydney,Master of Law,Master,Full-time,On Campus,"Camperdown, New South Wales",28185,1
University of Queensland,Master of Environmental Health Sciences,Master,Full-time,On Campus,"Brisbane, Queensland",41700,1
University of Newcastle,Master of Laws,Master,Full-time,On Campus,"Newcastle, New South Wales",28185,1
University of New South Wales,Master of International Business,Master,Full-time,On Campus,"Kensington, New South Wales",34000,1.5
University of Sydney,Master of Medicine (Pain Management),Master,Full-time,On Campus,"Camperdown, New South Wales",46000,1
University of Melbourne,Master of Fine Arts (Film and Television),Master,Full-time,On Campus,"Melbourne, Victoria",35200,2
University of Queensland,Master of Applied Econometrics,Master,Full-time,On Campus,"Brisbane, Queensland",43700,2
University of South Australia,Master of Business Analytics,Master,Full-time,On Campus,"Adelaide, South Australia",35280,2
University of Western Australia,Master of International Relations,Master,Full-time,On Campus,"Perth, Western Australia",36800,2
University of Queensland,Master of Occupational Health and Safety,Master,Full-time,On Campus,"Brisbane, Queensland",41120,2
Griffith University,Master of Finance,Master,Full-time,On Campus,"Gold Coast, Queensland",35500,1.5
University of South Australia,Master of Social Work,Master,Part-time,Online,"Adelaide, South Australia",28000,2
Curtin University,Master of Occupational Health and Safety,Master,Full-time,On Campus,"Perth, Western Australia",33000,2
University of Adelaide,Master of Digital Marketing,Master,Part-time,Online,"Adelaide, South Australia",40000,1
University of Western Australia,Master of Teaching (Primary),Master,Full-time,On Campus,"Perth, Western Australia",35000,2
Victoria University,Master of Business Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",30000,1.5
Southern Cross University,Master of Marine Science and Management,Master,Full-time,On Campus,"Coffs Harbour, New South Wales",36000,2
University of Queensland,Master of Agricultural Science,Master,Full-time,On Campus,"Brisbane, Queensland",39000,2
Charles Sturt University,Master of Public Administration,Master,Part-time,Online,"Bathurst, New South Wales",27000,2
James Cook University,Master of Conservation Biology,Master,Full-time,On Campus,"Townsville, Queensland",31000,1
Murdoch University,Master of Clinical Psychology,Master,Full-time,On Campus,"Perth, Western Australia",42000,2
Edith Cowan University,Master of Urban Planning,Master,Full-time,On Campus,"Perth, Western Australia",35000,1.5
University of Southern Queensland,Master of Professional Accounting,Master,Full-time,On Campus,"Toowoomba, Queensland",32000,2
Australian Catholic University,Master of Public Health,Master,Full-time,On Campus,"Sydney, New South Wales",39000,1.5
University of Canberra,Master of Business Law,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",37000,1.5
Deakin University,Master of Social Work,Master,Part-time,Online,"Melbourne, Victoria",31000,2
University of Tasmania,Master of Marine and Antarctic Science,Master,Full-time,On Campus,"Hobart, Tasmania",43000,2
University of New South Wales,Master of Engineering (Civil),Master,Full-time,On Campus,"Sydney, New South Wales",41000,2
Monash University,Master of International Development Practice,Master,Full-time,On Campus,"Melbourne, Victoria",37000,1.5
University of Newcastle,Master of Public Health,Master,Full-time,On Campus,"Newcastle, New South Wales",27000,2
Federation University Australia,Master of Business Administration,Master,Part-time,Online,"Ballarat, Victoria",32000,2
University of Western Sydney,Master of Teaching (Secondary),Master,Full-time,On Campus,"Sydney, New South Wales",34000,2
La Trobe University,Master of Data Science,Master,Full-time,On Campus,"Melbourne, Victoria",39000,1.5
Griffith University,Master of Marketing,Master,Full-time,On Campus,"Gold Coast, Queensland",34000,1.5
University of Notre Dame Australia,Master of Counselling,Master,Full-time,On Campus,"Fremantle, Western Australia",32000,1
University of Sydney,Master of International Business,Master,Full-time,On Campus,"Sydney, New South Wales",40000,1.5
Curtin University,Master of Science (Food Science and Technology),Master,Full-time,On Campus,"Perth, Western Australia",37000,1.5
University of South Australia,Master of Finance,Master,Full-time,On Campus,"Adelaide, South Australia",32000,1.5
Murdoch University,Master of Forensic Science,Master,Full-time,On Campus,"Perth, Western Australia",38000,2
Curtin University,Master of Finance and Investment Banking,Master,Full-time,On Campus,"Perth, Western Australia",42000,2
Griffith University,Master of Environmental Planning,Master,Full-time,On Campus,"Gold Coast, Queensland",41000,2
University of Technology Sydney,Master of Sport Management,Master,Full-time,On Campus,"Sydney, New South Wales",42000,2
University of Canberra,Master of Social Work (Qualifying),Master,Full-time,On Campus,"Canberra, Australian Capital Territory",35000,2
University of Tasmania,Master of Construction Management,Master,Full-time,On Campus,"Hobart, Tasmania",43000,2
Curtin University,Master of Clinical Psychology,Master,Full-time,On Campus,"Perth, Western Australia",45000,2
Griffith University,Master of International Business,Master,Full-time,On Campus,"Gold Coast, Queensland",40000,2
University of the Sunshine Coast,Master of Strategic Communication,Master,Full-time,On Campus,"Sunshine Coast, Queensland",37000,2
Curtin University,Master of Petroleum Engineering (Advanced),Master,Full-time,On Campus,"Perth, Western Australia",42000,2
University of Technology Sydney,Master of Digital Creative Media,Master,Full-time,On Campus,"Sydney, New South Wales",42000,2
University of Sydney,Master of Financial Planning,Master,Full-time,On Campus,"Sydney, New South Wales",45000,2
Griffith University,Master of Global Trade,Master,Full-time,On Campus,"Gold Coast, Queensland",40000,1.5
University of Technology Sydney,Master of Advanced Nursing,Master,Full-time,On Campus,"Sydney, New South Wales",46000,2
University of Tasmania,Master of Project Management,Master,Full-time,On Campus,"Hobart, Tasmania",43000,2
Curtin University,Master of Business Informatics,Master,Full-time,On Campus,"Perth, Western Australia",39000,2
Griffith University,Master of Applied Finance,Master,Full-time,On Campus,"Gold Coast, Queensland",42000,1.5
University of Technology Sydney,Master of Creative Writing,Master,Full-time,On Campus,"Sydney, New South Wales",42000,2
University of Sydney,Master of Cyber Security Analysis,Master,Full-time,On Campus,"Sydney, New South Wales",45000,1.5
Curtin University,Master of Environmental Science and Sustainability,Master,Full-time,On Campus,"Perth, Western Australia",43000,2
University of Canberra,Master of Public Administration,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",38000,2
Griffith University,Master of Educational Studies,Master,Full-time,On Campus,"Gold Coast, Queensland",40000,2
University of Technology Sydney,Master of Environmental Engineering,Master,Full-time,On Campus,"Sydney, New South Wales",45000,2
University of Tasmania,Master of Maritime Studies,Master,Full-time,On Campus,"Hobart, Tasmania",40000,2
University of Canberra,Master of Entrepreneurship and Innovation,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",37000,1.5
Griffith University,Master of Marketing,Master,Full-time,On Campus,"Gold Coast, Queensland",41000,1.5
University of Technology Sydney,Master of Project Management,Master,Full-time,On Campus,"Sydney, New South Wales",43000,2
University of Sydney,Master of International Business (Global Leadership),Master,Full-time,On Campus,"Sydney, New South Wales",46000,1.5
University of Western Australia,Master of Public Administration,Master,Full-time,On Campus,"Perth, Western Australia",27000,2
University of Adelaide,Master of Biostatistics,Master,Full-time,On Campus,"Adelaide, South Australia",29000,2
University of Queensland,Master of Clinical Exercise Physiology,Master,Full-time,On Campus,"Brisbane, Queensland",32000,1.5
University of Melbourne,Master of Public Health,Master,Full-time,On Campus,"Melbourne, Victoria",33000,2
University of South Australia,Master of Project Management,Master,Full-time,On Campus,"Adelaide, South Australia",26000,2
Bond University,Master of Architecture,Master,Full-time,On Campus,"Gold Coast, Queensland",36000,2
Deakin University,Master of Teaching (Secondary),Master,Full-time,On Campus,"Geelong, Victoria",24000,1.5
James Cook University,Master of Public Health,Master,Full-time,On Campus,"Townsville, Queensland",28000,2
University of Newcastle,Master of International Business,Master,Full-time,On Campus,"Newcastle, New South Wales",31000,2
University of Tasmania,Master of Environmental Management,Master,Full-time,On Campus,"Hobart, Tasmania",25000,2
Griffith University,Master of Sustainable Tourism,Master,Full-time,On Campus,"Gold Coast, Queensland",27000,2
University of New South Wales,Master of Data Science,Master,Full-time,On Campus,"Sydney, New South Wales",35000,2
University of Southern Queensland,Master of Project Management,Master,Full-time,On Campus,"Toowoomba, Queensland",24000,2
Victoria University,Master of Human Resource Management,Master,Full-time,On Campus,"Melbourne, Victoria",22000,2
Federation University Australia,Master of Engineering Technology,Master,Full-time,On Campus,"Ballarat, Victoria",29000,2
Murdoch University,Master of Environmental Science,Master,Full-time,On Campus,"Perth, Western Australia",28000,2
Edith Cowan University,Master of Information Technology(MIT),Master,Full-time,On Campus,"Joondalup, Western Australia",32000,2
Australian Catholic University,Master of Speech Pathology,Master,Full-time,On Campus,"Brisbane, Queensland",31000,2
University of Wollongong,Master of Business Analytics,Master,Full-time,On Campus,"Wollongong, New South Wales",28000,2
University of Notre Dame Australia,Master of Laws,Master,Full-time,On Campus,"Sydney, New South Wales",30000,2
University of Technology Sydney,Master of Global Project Management,Master,Full-time,On Campus,"Sydney, New South Wales",34000,2
University of Queensland,Master of International Relations,Master,Full-time,On Campus,"Brisbane, Queensland",30000,2
University of Melbourne,Master of Finance,Master,Full-time,On Campus,"Melbourne, Victoria",38000,2
La Trobe University,Master of Artificial Intelligence,Master,Full-time,On Campus,"Melbourne, Victoria",35000,2
Southern Cross University,Master of Marine Science,Master,Full-time,On Campus,"Lismore, New South Wales",32000,2
University of Western Australia,Master of Biotechnology,Master,Full-time,On Campus,"Perth, Western Australia",31000,2
University of Adelaide,Master of Applied Finance,Master,Full-time,On Campus,"Adelaide, South Australia",30000,2
Griffith University,Master of Environmental Planning,Master,Full-time,On Campus,"Gold Coast, Queensland",29000,2
University of Canberra,Master of Business Information Systems,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",29000,2
University of Southern Queensland,Master of Science (Research),Master,Full-time,On Campus,"Toowoomba, Queensland",29560,2
University of Melbourne,Master of Food Science,Master,Full-time,On Campus,"Melbourne, Victoria",45000,2
University of Sydney,Master of Veterinary Public Health,Master,Full-time,On Campus,"Sydney, New South Wales",42000,1.5
Curtin University,Master of Social Research,Master,Full-time,On Campus,"Perth, Western Australia",36000,2
University of Wollongong,Master of Nutrition and Dietetics,Master,Full-time,On Campus,"Wollongong, New South Wales",36000,2
University of Western Australia,Master of Clinical Neuropsychology,Master,Full-time,On Campus,"Perth, Western Australia",45000,2
University of Tasmania,Master of Environmental Management,Master,Full-time,On Campus,"Hobart, Tasmania",32000,2
University of Newcastle,Master of Disaster Resilience and Sustainable Development,Master,Full-time,On Campus,"Newcastle, New South Wales",36500,2
Monash University,Master of Journalism,Master,Full-time,On Campus,"Melbourne, Victoria",39000,1.5
University of Technology Sydney,Master of Planning,Master,Full-time,On Campus,"Sydney, New South Wales",38000,1.5
University of Adelaide,Master of Public Health (Advanced),Master,Full-time,On Campus,"Adelaide, South Australia",42000,2
RMIT University,Master of Energy Efficient and Sustainable Building,Master,Full-time,On Campus,"Melbourne, Victoria",37000,1.5
Bond University,Master of Business (Finance),Master,Full-time,On Campus,"Gold Coast, Queensland",35000,1.5
La Trobe University,Master of International Relations,Master,Full-time,On Campus,"Melbourne, Victoria",34000,2
James Cook University,Master of Marine Biology,Master,Full-time,On Campus,"Townsville, Queensland",37000,2
University of Canberra,Master of Forensic Studies (Accounting),Master,Full-time,On Campus,"Canberra, ACT",39000,1.5
Federation University Australia,Master of Applied Information Technology,Master,Full-time,On Campus,"Ballarat, Victoria",32000,2
CQUniversity,Master of Engineering Management,Master,Full-time,On Campus,"Brisbane, Queensland",34000,2
University of Notre Dame Australia,Master of Education (Leadership & Management),Master,Full-time,On Campus,"Fremantle, Western Australia",35000,2
Western Sydney University,Master of Project Management,Master,Full-time,On Campus,"Sydney, New South Wales",32000,2
Charles Sturt University,Master of Information Systems,Master,Full-time,On Campus,"Bathurst, New South Wales",29000,2
Victoria University,Master of Sustainable Energy,Master,Full-time,On Campus,"Melbourne, Victoria",36000,2
Griffith University,Master of Aviation Management,Master,Full-time,On Campus,"Brisbane, Queensland",34000,2
Murdoch University,Master of Environmental Science (Marine and Freshwater),Master,Full-time,On Campus,"Perth, Western Australia",35500,2
Edith Cowan University,Master of Arts (Social Work),Master,Full-time,On Campus,"Joondalup, Western Australia",33000,2
Deakin University,Master of Landscape Architecture,Master,Full-time,On Campus,"Melbourne, Victoria",37000,2
Flinders University,Master of Social Work (Advanced),Master,Full-time,On Campus,"Adelaide, South Australia",34500,2
University of Queensland,Master of Teaching (Primary),Master,Full-time,On Campus,"Brisbane, Queensland",38000,2
