University of South Australia,Bachelor of Health Science (Nutrition and Exercise Science),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",35000,3
La Trobe University,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
La Trobe University,Bachelor of Agricultural Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria",33000,3
Griffith University,Bachelor of Animation,Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
Griffith University,Bachelor of Music (Jazz),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Murdoch University,Bachelor of Forensic Biology and Toxicology,B.Sc.,Full-time,On Campus,"Perth, Western Australia",33000,3
Murdoch University,Bachelor of Business (Management and Marketing),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Environments,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
University of Melbourne,Bachelor of Fine Arts (Theatre and Screen),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Newcastle,Bachelor of Information Technology (Software Development),B.Sc.,Full-time,On Campus,"Newcastle, New South Wales",34000,3
University of Newcastle,Bachelor of Law and Business,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",33000,3
Western Sydney University,Bachelor of Engineering Science,B.Eng.,Full-time,On Campus,"Sydney, New South Wales",34000,3
Western Sydney University,Bachelor of Arts (International Relations),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Tasmania,Bachelor of Natural Environment and Wilderness Studies,Bachelor,Full-time,On Campus,"Hobart, Tasmania",33000,3
University of Tasmania,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,3
Victoria University,Bachelor of Law and Legal Practice,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Victoria University,Bachelor of Arts (International Development),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Federation University,Bachelor of Education (Primary Teaching),Bachelor,Full-time,On Campus,"Ballarat, Victoria",33000,3
Federation University,Bachelor of Nursing,B.Sc.,Full-time,On Campus,"Ballarat, Victoria",32000,3
Southern Cross University,Bachelor of Engineering (Mechanical),B.Eng.,Full-time,On Campus,"Lismore, New South Wales",32000,3
Southern Cross University,Bachelor of Laws,Bachelor,Full-time,On Campus,"Lismore, New South Wales",33000,3
Macquarie University,Bachelor of Media (Screen Production),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Swinburne University of Technology,Bachelor of Engineering (Electrical and Electronic),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Swinburne University of Technology,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
RMIT University,Bachelor of Science (Applied Chemistry),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
RMIT University,Bachelor of Design (Games),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Deakin University,Bachelor of Science (Environmental Science),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Deakin University,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Bond University,Bachelor of Business (Tourism and Hospitality Management),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
Bond University,Bachelor of Arts (International Relations),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",37000,3
Kaplan Business School,Bachelor of Business (Health Services Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Whitehouse Institute of Design,Bachelor of Design (Fashion and Styling),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Whitehouse Institute of Design,Bachelor of Interior Architecture (Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian College of Physical Education (ACPE),Bachelor of Sport Coaching and Physical Education,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian College of Physical Education (ACPE),Bachelor of Education (Outdoor Education),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Billy Blue College of Design,Bachelor of Fashion and Costume Design,Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Billy Blue College of Design,Bachelor of Animation and Visual Effects,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Le Cordon Bleu Australia,Bachelor of International Hospitality Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Australian Maritime College,Bachelor of Marine Engineering (Offshore and Coastal Systems),B.Eng.,Full-time,On Campus,"Launceston, Tasmania",34000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Hotel Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Marketing and Event Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Macleay College,Bachelor of Journalism (Broadcast Journalism),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Holmesglen Institute,Bachelor of Architecture and Built Environments,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Holmesglen Institute,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Navitas College of Public Safety,Bachelor of Justice Studies,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Navitas College of Public Safety,Bachelor of Policing and Law Enforcement,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Sydney,Bachelor of Design in Architecture,Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
University of Sydney,Bachelor of Science (Advanced Mathematics),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",38000,3
Curtin University,Bachelor of Commerce (Global Business),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Science (Biological Sciences),B.Sc.,Full-time,On Campus,"Perth, Western Australia",35000,3
University of New South Wales,Bachelor of Fine Arts (Creative Writing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
University of New South Wales,Bachelor of Commerce (Actuarial Studies),Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
University of Adelaide,Bachelor of Engineering (Civil Engineering),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Adelaide,Bachelor of Science (Agricultural Science),B.Sc.,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of Queensland,Bachelor of Science (Marine Biology),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",36000,3
University of Queensland,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Brisbane, Queensland",37000,3
Monash University,Bachelor of Aerospace Engineering,B.Eng.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Monash University,Bachelor of Media Communication,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Western Australia,Bachelor of Science (Zoology),B.Sc.,Full-time,On Campus,"Perth, Western Australia",33000,3
Bond University,Bachelor of International Business (Management),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
University of Canberra,Bachelor of Social Work (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
CQUniversity,Bachelor of Engineering (Chemical Engineering),B.Eng.,Full-time,On Campus,"Rockhampton, Queensland",32000,3
CQUniversity,Bachelor of Nursing Science,B.Sc.,Full-time,On Campus,"Rockhampton, Queensland",33000,3
University of South Australia,Bachelor of Engineering (Electrical Engineering),B.Eng.,Full-time,On Campus,"Adelaide, South Australia",35000,3
La Trobe University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Griffith University,Bachelor of Computer Science (Software Development),B.Sc.,Full-time,On Campus,"Brisbane, Queensland",35000,3
Griffith University,Bachelor of Design (Interior Design),Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Murdoch University,Bachelor of Nursing (Graduate Entry),B.Sc.,Full-time,On Campus,"Perth, Western Australia",33000,3
Murdoch University,Bachelor of Science (Animal Science),B.Sc.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Science (Geology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",36000,3
University of Melbourne,Bachelor of Music (Classical Performance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Newcastle,Bachelor of Design (Industrial Design),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",34000,3
University of Newcastle,Bachelor of Social Science (Human Services),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",33000,3
Western Sydney University,Bachelor of Medical Science (Advanced),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",34000,3
Western Sydney University,Bachelor of Arts (Philosophy and Religion),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Tasmania,Bachelor of Arts (Sociology),Bachelor,Full-time,On Campus,"Hobart, Tasmania",33000,3
University of Tasmania,Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,3
Victoria University,Bachelor of Education (Early Childhood and Primary),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Victoria University,Bachelor of Business (Financial Planning),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Federation University,Bachelor of Information Technology (Business Information Systems),B.Sc.,Full-time,On Campus,"Ballarat, Victoria",33000,3
Southern Cross University,Bachelor of Laws (Business and Finance),Bachelor,Full-time,On Campus,"Lismore, New South Wales",32000,3
Southern Cross University,Bachelor of Engineering (Renewable Energy),B.Eng.,Full-time,On Campus,"Lismore, New South Wales",33000,3
Macquarie University,Bachelor of Arts (Criminology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Swinburne University of Technology,Bachelor of Engineering (Biomedical Engineering),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Swinburne University of Technology,Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
RMIT University,Bachelor of Design (Communication Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
RMIT University,Bachelor of Science (Mathematics),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",33000,3
Deakin University,Bachelor of Commerce (Business Law),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Deakin University,Bachelor of Environmental Science (Wildlife and Conservation Biology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Bond University,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
Bond University,Bachelor of International Relations (Politics),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",37000,3
Kaplan Business School,Bachelor of Business (Leadership),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Kaplan Business School,Bachelor of Business (International Hotel Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Whitehouse Institute of Design,Bachelor of Design (Fashion),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Whitehouse Institute of Design,Bachelor of Design (Photography and Styling),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian College of Physical Education (ACPE),Bachelor of Sports Management,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian College of Physical Education (ACPE),Bachelor of Health Science (Exercise Physiology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Billy Blue College of Design,Bachelor of Creative Technologies (Animation),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Billy Blue College of Design,Bachelor of Branded Fashion Design (Business),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian Maritime College,Bachelor of Science (Ocean Engineering),B.Sc.,Full-time,On Campus,"Launceston, Tasmania",35000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Marketing and Public Relations),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Macleay College,Bachelor of Business (Financial Services),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Holmesglen Institute,Bachelor of Design (Architectural Technology),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Holmesglen Institute,Bachelor of Applied Science (Building Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Navitas College of Public Safety,Bachelor of Criminology and Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Navitas College of Public Safety,Bachelor of Social Science (Counter Terrorism),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Endeavour College of Natural Health,Bachelor of Health Science (Myotherapy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
SAE Creative Media Institute,Bachelor of Film (Post Production),Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",34000,3
SAE Creative Media Institute,Bachelor of Animation (Character Animation),Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",33000,3
Marcus Oldham College,Bachelor of Business (Agricultural Science),Bachelor,Full-time,On Campus,"Geelong, Victoria",34000,3
University of Newcastle,Bachelor of Chemical Engineering (Honours),B.Eng.,Full-time,On Campus,"Newcastle, New South Wales",41910,3
University of Newcastle,Bachelor of Mechanical Engineering (Honours),B.Eng.,Full-time,On Campus,"Newcastle, New South Wales",41670,3
University of Newcastle,Bachelor of Business (Accounting),Bachelor,Full-time,On Campus,Multiple locations,35665,3
Curtin University,Bachelor of Engineering (Honours) (Electrical and Electronic Engineering),B.Eng.,Full-time,On Campus,"Perth, Western Australia",37507,3
Griffith University,Bachelor of Psychological Science,Bachelor,Full-time,"Online, On Campus",Multiple locations,10000,3
Charles Sturt University,Bachelor of Business Administration,B.B.A.,Full-time,On Campus,Multiple locations,30978,3
University of Newcastle,Bachelor of Civil Engineering (Honours),B.Eng.,"Full-time, Part-time",On Campus,"Newcastle, New South Wales",41955,3
Stanley College,Bachelor of Hospitality and Events Management,Bachelor,Full-time,On Campus,Multiple locations,10400,3
University of Tasmania,Bachelor of Philosophy,B.A.,"Full-time, Part-time",On Campus,Multiple locations,34250,3
University of Tasmania,Bachelor of Business - Accounting,Bachelor,Full-time,On Campus,Multiple locations,10400,3
Curtin University,Bachelor of Engineering (Honours) (Chemical Engineering),B.Eng.,Full-time,On Campus,"Perth, Western Australia",37507,3
Stanley College,Bachelor of Information Technology (Cybersecurity),Bachelor,Full-time,On Campus,Multiple locations,9500,3
Stanley College,Bachelor of Community Services,Bachelor,Full-time,On Campus,Multiple locations,19800,3
Stanley College,Diploma of Hospitality Management,Diploma,Full-time,On Campus,"Perth, Western Australia",5200,3
University of Technology Sydney,Bachelor of Environmental Science,B.Sc.,Full-time,On Campus,"Sydney, New South Wales",41000,3
University of Technology Sydney,Bachelor of Business (International Business),Bachelor,Full-time,On Campus,"Sydney, New South Wales",39500,3
University of Western Australia,UWA Foundation Program - Bachelor of Agribusiness - Science Agricultural Science,Pre-Bachelor,Full-time,On Campus,"Perth, Western Australia",33600,3
University of Technology Sydney,Bachelor of Architecture,B.A.,Full-time,On Campus,"Sydney, New South Wales",40500,3
University of Technology Sydney,Bachelor of Mechatronics Engineering,B.Eng.,Full-time,On Campus,"Sydney, New South Wales",41500,3
Curtin University,Bachelor of Business - Marketing,Bachelor,Full-time,On Campus,"Perth, Western Australia",37000,3
Stanley College,Bachelor of Business (Management),Bachelor,Full-time,On Campus,Multiple locations,10400,3
University of Western Australia,Bachelor of Fine Arts,B.F.A.,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Technology Sydney,Bachelor of Nursing,Bachelor,"Full-time, Part-time",On Campus,"Sydney, New South Wales",40500,3
University of Tasmania,Bachelor of Economics,Bachelor,Full-time,On Campus,Multiple locations,31500,3
Curtin University,Bachelor of International Relations,B.A.,Full-time,On Campus,"Perth, Western Australia",37000,3
University of Western Australia,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Perth, Western Australia",33500,3
Stanley College,Bachelor of Business - Marketing,Bachelor,Full-time,On Campus,Multiple locations,10400,3
Curtin University,Bachelor of Arts (Creative Writing),B.A.,Full-time,On Campus,"Perth, Western Australia",34000,3
Curtin University,Bachelor of Commerce,B.Com.,Full-time,On Campus,"Perth, Western Australia",34000,3
Stanley College,Bachelor of Hospitality and Tourism Management,Bachelor,Full-time,On Campus,Multiple locations,10400,3
University of Technology Sydney,Bachelor of Information Technology (Networking and Security),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",42000,3
Curtin University,Bachelor of Computer Science,B.Sc.,Full-time,On Campus,"Perth, Western Australia",38000,3
University of Sydney,Bachelor of Science (Biochemistry),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",38000,3
University of Sydney,Bachelor of Commerce (Marketing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
Curtin University,Bachelor of Engineering (Petroleum Engineering),B.Eng.,Full-time,On Campus,"Perth, Western Australia",37000,3
Curtin University,Bachelor of Commerce (Logistics and Supply Chain Management),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
University of New South Wales,Bachelor of Commerce (Information Systems),Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
University of New South Wales,Bachelor of Engineering (Environmental Engineering),B.Eng.,Full-time,On Campus,"Sydney, New South Wales",38000,3
University of Adelaide,Bachelor of Business (Economics),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Adelaide,Bachelor of Medical Science,B.Sc.,Full-time,On Campus,"Adelaide, South Australia",36000,3
University of Queensland,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Brisbane, Queensland",39000,3
University of Queensland,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Brisbane, Queensland",40000,3
Monash University,Bachelor of Business (Banking and Finance),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Monash University,Bachelor of Science (Psychology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Western Australia,Bachelor of Marine and Freshwater Biology,B.Sc.,Full-time,On Campus,"Perth, Western Australia",37000,3
University of Western Australia,Bachelor of Commerce (Accounting),Bachelor,Full-time,On Campus,"Perth, Western Australia",36000,3
Bond University,Bachelor of Commerce (Finance),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",38000,3
Bond University,Bachelor of Laws (Honours),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",39000,3
University of Canberra,Bachelor of Health Science (Sports and Exercise Science),B.Sc.,Full-time,On Campus,"Canberra, ACT",34000,3
University of Canberra,Bachelor of Communication (Public Relations),Bachelor,Full-time,On Campus,"Canberra, ACT",32000,3
CQUniversity,Bachelor of Health Science (Paramedicine),B.Sc.,Full-time,On Campus,"Rockhampton, Queensland",33000,3
CQUniversity,Bachelor of Information Technology (Software Development),B.Sc.,Full-time,On Campus,"Rockhampton, Queensland",32000,3
University of South Australia,Bachelor of Marketing and Communication,Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
University of South Australia,Bachelor of Occupational Therapy (Honours),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
La Trobe University,Bachelor of Exercise Science (Rehabilitation),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
La Trobe University,Bachelor of International Business,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Griffith University,Bachelor of Engineering (Civil Engineering),B.Eng.,Full-time,On Campus,"Brisbane, Queensland",37000,3
Griffith University,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
Murdoch University,Bachelor of Arts (Criminology),Bachelor,Full-time,On Campus,"Perth, Western Australia",33000,3
Murdoch University,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Science (Biotechnology),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",35000,3
University of Melbourne,Bachelor of Arts (Philosophy),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Newcastle,Bachelor of Psychology (Honours),Bachelor,Full-time,On Campus,"Newcastle, New South Wales",35000,3
University of Newcastle,Bachelor of Civil Engineering (Honours),B.Eng.,Full-time,On Campus,"Newcastle, New South Wales",36000,3
Western Sydney University,Bachelor of Business (Accounting),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Western Sydney University,Bachelor of Science (Medical Science),B.Sc.,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Tasmania,Bachelor of Environmental Science (Honours),B.Sc.,Full-time,On Campus,"Hobart, Tasmania",32000,3
University of Tasmania,Bachelor of Engineering (Mechanical Engineering),B.Eng.,Full-time,On Campus,"Hobart, Tasmania",33000,3
Victoria University,Bachelor of Creative Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Victoria University,Bachelor of Business (Logistics and Supply Chain Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Federation University,Bachelor of Information Technology (Game Design),B.Sc.,Full-time,On Campus,"Ballarat, Victoria",33000,3
Southern Cross University,Bachelor of Health Science (Osteopathy),B.Sc.,Full-time,On Campus,"Lismore, New South Wales",32000,3
Southern Cross University,Bachelor of Engineering (Environmental Engineering),B.Eng.,Full-time,On Campus,"Lismore, New South Wales",33000,3
Macquarie University,Bachelor of Business (Human Resource Management),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Macquarie University,Bachelor of Social Science (Social Research and Policy),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Swinburne University of Technology,Bachelor of Computer Science (Artificial Intelligence),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Swinburne University of Technology,Bachelor of Design (User Experience Design),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
RMIT University,Bachelor of Biomedical Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
RMIT University,Bachelor of Engineering (Chemical Engineering),B.Eng.,Full-time,On Campus,"Melbourne, Victoria",35000,3
Deakin University,Bachelor of Health Science (Public Health and Health Promotion),B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Bond University,Bachelor of Business (Marketing and Communications),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
Bond University,Bachelor of International Relations (International Business),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",37000,3
Kaplan Business School,Bachelor of Information Systems (Cybersecurity),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Whitehouse Institute of Design,Bachelor of Design (Textiles and Fashion),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Whitehouse Institute of Design,Bachelor of Interior Design (Architecture),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Event Management and International Hotel Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",37000,3
Blue Mountains International Hotel Management School,Bachelor of Business (Hospitality and Resort Management),Bachelor,Full-time,On Campus,"Leura, New South Wales",36000,3
Australian College of Physical Education (ACPE),Bachelor of Education (Physical Education and Health),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Australian College of Physical Education (ACPE),Bachelor of Sports Science (Exercise Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Billy Blue College of Design,Bachelor of Digital Media (Film and Animation),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Le Cordon Bleu Australia,Bachelor of Culinary Arts Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Australian Maritime College,Bachelor of Engineering (Marine and Offshore Engineering),B.Eng.,Full-time,On Campus,"Launceston, Tasmania",34000,3
Australian Maritime College,Bachelor of Science (Aquatic Science),B.Sc.,Full-time,On Campus,"Launceston, Tasmania",35000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Marketing and Communications),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Macleay College,Bachelor of Digital Media (Journalism),Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Macleay College,Bachelor of Business (Media and Public Relations),Bachelor,Full-time,On Campus,"Sydney, New South Wales",31000,3
Holmesglen Institute,Bachelor of Digital Media Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Navitas College of Public Safety,Bachelor of Social Science (Forensic Science),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
SAE Creative Media Institute,Bachelor of Audio (Sound Production),Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",34000,3
SAE Creative Media Institute,Bachelor of Film (Production),Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",33000,3
Marcus Oldham College,Bachelor of Business (Agriculture),Bachelor,Full-time,On Campus,"Geelong, Victoria",34000,3
University of Sydney,Bachelor of Arts and Sciences,Bachelor,Full-time,On Campus,"Sydney, New South Wales",38000,3
Curtin University,Bachelor of Business (Public Relations),Bachelor,Full-time,On Campus,"Perth, Western Australia",32000,3
University of New South Wales,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Adelaide,Bachelor of Biotechnology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
University of Queensland,Bachelor of Wildlife Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",37000,3
Monash University,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Western Australia,Bachelor of Psychology,Bachelor,Full-time,On Campus,"Perth, Western Australia",36000,3
Bond University,Bachelor of Arts (Psychology),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",34000,3
University of Canberra,Bachelor of Business Informatics,Bachelor,Full-time,On Campus,"Canberra, ACT",32000,3
University of South Australia,Bachelor of Law,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
La Trobe University,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Murdoch University,Bachelor of Conservation Biology,Bachelor,Full-time,On Campus,"Perth, Western Australia",34000,3
University of Melbourne,Bachelor of Biomedicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
University of Newcastle,Bachelor of Natural History Illustration,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",34000,3
University of Tasmania,Bachelor of Music,Bachelor,Full-time,On Campus,"Hobart, Tasmania",32000,3
Southern Cross University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Lismore, New South Wales",33000,3
Macquarie University,Bachelor of Business (Marketing),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Swinburne University of Technology,Bachelor of Design (Digital Media),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
RMIT University,Bachelor of Environmental Science,B.Sc.,Full-time,On Campus,"Melbourne, Victoria",34000,3
Deakin University,Bachelor of Forensic Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Bond University,Bachelor of Business (International Business),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",36000,3
Whitehouse Institute of Design,Bachelor of Fashion,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Blue Mountains International Hotel Management School,Bachelor of Event Management,Bachelor,Full-time,On Campus,"Leura, New South Wales",36000,3
Australian College of Physical Education (ACPE),Bachelor of Sports Coaching,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Billy Blue College of Design,Bachelor of Digital Media (Interaction Design),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Le Cordon Bleu Australia,Bachelor of Hospitality Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Australian Maritime College,Bachelor of Engineering (Ocean Engineering),B.Eng.,Full-time,On Campus,"Launceston, Tasmania",34000,3
Holmesglen Institute,Bachelor of Design (Architecture),Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
Navitas College of Public Safety,Bachelor of Criminology and Justice,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Sydney,Bachelor of Economics,Bachelor,Full-time,On Campus,"Sydney, New South Wales",41000,3
University of Sydney,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
